video_id,video_label,comment_text,moderation_tier,final_label,matched_terms,explanation,still_live_on_yt
vyMMIh0TPyo,Suvarna News Debate,ಹೋಗೋ ಕಾಂಗ್ರೆಸ್ ನಾಯಿ.😂,Auto-Flag,Hate Speech,ನಾಯಿ,Both models agree with very high confidence (96%). Matched term(s): ನಾಯಿ.,True
vyMMIh0TPyo,Suvarna News Debate,Ramesh Babau talking non sense. Why this nakali Gandhi  & thier party  loose 3 times parlimentary election.  Thoo ramesh babu you will never accept the people verdit on  congress,Needs Review,Offensive,,"Models agree it may be Offensive (89% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,"Allappaaa Remesha....
Ivaga Janarige duddina Ruchi torsi election gelluva 
Padhatiyannu idee Deshakke parichayisiddu neevu (2023 ra Karnataka chunavaneyimda)... some educated people call them as Rubbish idea, Rajya deewaliyagutte anta, aadare Halliya Jana avugalanna Jeevanadhara anta kareetare, u are calling them as Karnataka Model.... Fine.
Irli. 
Ivaga nimmantaha muthalara jote election galannu gellabekandre innen madbeku BJP avru...same nimmashtu kelamattada rajakaranakkene avru barbeku... Avru ogbuttu navu bari abhirudhi madteevi andre Jana vote haktara ( adu nam Bharatad Jana ??) chanceee illa...so 
Ee guaranteegalanna tandiddu neevu...mattu munde adara adda parinamagalig nera hone neevu ..nenpitkolli...
Desha Ibhaga madiddu Congres na modala tappu
Muslim avranna olaisikonde 60 varsha badiddi eradne teppu...
Ivaga Guarantee galanna tandiddu Sadhyakke nimage Chanda ansbodu...but after 30 years nodkolli nim mukhagalanna..",Needs Review,Hate Speech,,"Models agree it may be Hate Speech (90% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,Huch sulemaga suresh,Auto-Flag,Hate Speech,sule,"Both models agree (86%), matched term(s): sule.",True
vyMMIh0TPyo,Suvarna News Debate,Hee congress gulamanige Modi na baydre next raajyasaba sadasya madtivi anta heli kalsirbeku,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (84% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,ರಮೇಶ್ ಬಂದವ್ನೆ ಏನೇನೋ ಬೊಗಲ್ತ ಐದನೇ,Needs Review,Offensive,,"Models agree it may be Offensive (89% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,Ramesh babu ge pappu bitre bere leaderna accept maado mentality illa sumne vaadha,Auto-Flag,Offensive,mental,"Both models agree (90%), matched term(s): mental.",True
vyMMIh0TPyo,Suvarna News Debate,13:35 ಹೋಂದಣಿಕ ರಾಜಕೀಯ ಬಿಜೆಪಿ ಸೂ ಮಕ್ಕಳು ಕರ್ನಾಟಕದಲ್ಲಿ,Needs Review,Offensive,,"Models agree it may be Offensive (82% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,"Prime minister aagi hogid janagal jote tea kudkond koothkolok aagutta 😂😂😂😂😂😂😂😂😂😂
Yavaga Indira Gandhi nam maneg bandu tea kudkond kootidru❤❤",Needs Review,Hate Speech,,"Models agree it may be Hate Speech (86% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,"Modi has same face value no doubt about it ❤

But due to some issues voters can turn their votes that's all 😂😂😂😂😂",Needs Review,Offensive,,"Models agree it may be Offensive (79% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,ಎಲ್ಲಾ ಕಡೆ ಬಿಜೆಪಿ ಮತ್ತು ಹಿಂದೂಗಳು ಪಾಠ ಕಲಿತ್ತಿದ್ದಾರೆ.ಆದರೆ ಕರ್ನಾಟದಲ್ಲಿರುವ ಹಿಂದೂಗಳಾಗಲಿ ಬಿಜೆಪಿಯವರಾಗಲಿ ಇನ್ನೂ ಪಾಠ ಕಲಿತಿಲ್ಲ. ಕಲಿತಾರೆ ಎನ್ನುವ ನಂಬಿಕೆನೂ ಇಲ್ಲ.,Auto-Flag,Hate Speech,,Both models agree with very high confidence (97%).,True
vyMMIh0TPyo,Suvarna News Debate,khangress support mado dash hindugalu,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (89% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,ನೆಕ್ಸ್ಟ್ ಕಾಂಗ್ರೆಸ್ ಕರ್ನಾಟಕ ದಲ್ಲಿ ಸೋಲು ಗೆರಾಂಟಿ ಕಾಂಗ್ರೆಸ್ ನವರ ದುರಂಕಾರ ನೋಡಿ ಸಾಕಾಗಿದೆ,Auto-Flag,Hate Speech,,Both models agree with very high confidence (98%).,True
vyMMIh0TPyo,Suvarna News Debate,Modi bagge ivagalu janaralli olavu ide minimum 25 percent Jana avaranna nodi vote madthare,Auto-Flag,Hate Speech,,Both models agree with very high confidence (99%).,True
vyMMIh0TPyo,Suvarna News Debate,BJP learnt lesson about the importance of RSS in Lok sabha elections. They are the backbone of the BJP to impact at ground level.,Auto-Flag,Hate Speech,,Both models agree with very high confidence (97%).,True
vyMMIh0TPyo,Suvarna News Debate,💯 percent Modi is superstar True leader,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (86% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,Road cha.... Modi is PM...understand. security purpose  congresssio,Needs Review,Offensive,,"Models agree it may be Offensive (67% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,Congress PmS  durbalaru,Auto-Flag,Hate Speech,,Both models agree with very high confidence (95%).,True
vyMMIh0TPyo,Suvarna News Debate,"ನಿಜವಾದ ಕಾರ್ಯಕರ್ತರನ್ನ ಬೆಳೆಸಿದರೆ ಮಾತ್ರ ಬಿಜೆಪಿ ಉಳಿಯುತ್ತೆ,, ಇಲ್ಲದಿದ್ದರೆ,, ಗೋವಿಂದ.😅😅",Auto-Flag,Hate Speech,,Both models agree with very high confidence (96%).,True
vyMMIh0TPyo,Suvarna News Debate,ಚರ್ಚೆ ಚನ್ನಗಿತ್ತು. ಕಾ ಕಾ ಕಾ ಮಾಡಿದ್ರೆ ಇಷ್ಟ ಆಗಲ್ಲ ಜೈ. Bjp,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (67% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,"ಹೇಡಿ,ಹೊಪ್ಲೇಸ್, ಪ್ರಧಾನ ಮಂತ್ರಿ ಅಂದ್ರೆ ಮುಖ ಸಿಂಗ್,

ಕರ್ನಾಟಕ ದಲ್ಲಿ ಮೋದಿಜಿ ಇಮೇಜ್ ಹಾಳಗಳು, ಕಾಂಗ್ರೆಸ್ ಜೊತೆ ಹೊಂದಾಣಿಕೆ ಯಾದ ಹೊಪ್ಲೇಸ್ ಮಾಜಿ ಮುಖ್ಯಮಂತ್ರಿ ಯೆಡಿಯೂರಪ್ಪ ಕಾರಣ",Auto-Flag,Hate Speech,,Both models agree with very high confidence (98%).,True
vyMMIh0TPyo,Suvarna News Debate,"Ramesha , Rahul bage heli..",Needs Review,Offensive,,"Models agree it may be Offensive (89% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,ಅವನ ಅಮ್ಮನ ವಾರ್ತೆ ಕೇಳೋಣ ಅಂದ್ರೆ ಇಲ್ಲೂ ಒಂದು ಗಂಟೆ ಜಾಹೀರಾತ,Needs Review,Offensive,,"Models agree it may be Offensive (76% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,ರಮೇಶ್ ಬಾಬು ಸುಳ್ಳೆ ಹೇಳಬೇಡಿ ಮೋದಿ ಗ್ರೇಟರ್,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (90% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,J p ನಡ್ಡ ಎಂಬ. ಮೂರ್ಖ. R s s. ಬೇಕಾಗಿಲ್ಲ ಬಿಜೆಪಿಗೆ. ಅಂತಾ ಹೇಳಿದ್ದು ತುಂಬಾ ದುಬಾರಿ 😂,Needs Review,Offensive,,"Models agree it may be Offensive (86% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,Tamil Nadu Kerala dalli congress eni kissdide,Auto-Flag,Hate Speech,,Both models agree with very high confidence (96%).,True
vyMMIh0TPyo,Suvarna News Debate,Nalayak  Congress  Mullah   Ramesh Kumar,Needs Review,Hate Speech,nalayak,"Models agree it may be Hate Speech (79% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,Maharashtra election result for yogi leadership not for modi leadership. At least now they should understand this,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (76% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,Ramesh Babu huchsulemaga...,Needs Review,Hate Speech,sule,"Models agree it may be Hate Speech (76% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
vyMMIh0TPyo,Suvarna News Debate,Karnatakadalli bjp leaders yella narasatta namardha hesige leaders.. intaa dodda dodda congress hagarana iddagaa kooda janagalige talupisi parivartane maadokaagada shandaragi iruvudakkinta aatmahatye maadkallodu lesu… current BSY family politics is adjustment with other political party.. first BSY family manege hogbeku… appa/maga/others is sole responsible for Karnataka bjp defeat…😡😡 😮,Auto-Flag,Hate Speech,,Both models agree with very high confidence (98%).,True
vyMMIh0TPyo,Suvarna News Debate,Ramesh babu is not answering the asked questions,Auto-Flag,Offensive,,Both models agree with very high confidence (98%).,True
vyMMIh0TPyo,Suvarna News Debate,ಕಾಂಗ್ರೆಸ್ ವಕ್ತರರ ಮೊಂಡು ವಾದ. ಇಂಡಿ ಘಟಬಂದನ್ ದಲ್ಲಿ  ದೇಶ ನಡೆಸುವ ಶಕ್ತಿ ಯಾರಲ್ಲೂ ಇಲ್ಲ. ಹಿಂದೂ ವಿರೋಧಿ ನೀತಿ ಮತ್ತು ಅಪ್ಪೆಸಮೆಂಟ್ ರಾಜಕೀಯ ಬಿಟ್ಟು ಇವರಗೇನು ಗೊತ್ತಿಲ್ಲ,Auto-Flag,Hate Speech,,Both models agree with very high confidence (96%).,True
vyMMIh0TPyo,Suvarna News Debate,"I have been regular watcher of suvarna left rite centre, but I will stop watching if people like Ramesh Babu come in the show and talk nonsense about Modiji.. sorry to say this..",Auto-Flag,Offensive,,Both models agree with very high confidence (95%).,True
vyMMIh0TPyo,Suvarna News Debate,Ramesh Modi janapreyte tumbaede Karnatakadale kutumb rajakarneke viroda ede. Anneo matadbeda. Congressnalli yaru obba lederella sycophancy matraede. Babu ninage anadru tiliyutta Priyanka Gandhi family avaru muru MPgalu anta ksetragallinda geddidsre astee.,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (94% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
VJGx2QHATkY,Vistara News Political Debate,ಕರ್ನಾಟಕದ ನಂಬರ್ ಒನ್ ರೌಡಿಯನ್ನು ಕರ್ನಾಟಕದ ಮುಖ್ಯಮಂತ್ರಿ ಮಾಡಿದ ಸರ್ಕಾರಕ್ಕೆ ನನ್ನದೊಂದು ಸಲಾಂ,Auto-Flag,Hate Speech,,Both models agree with very high confidence (98%).,True
tSHIac079_s,Kannada Media Discussion,M s jahangeer sir awesome actor ❤⚡,Needs Review,Offensive,,"Models agree it may be Offensive (90% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,Full song available aitha idu ?,Needs Review,Offensive,,"Models agree it may be Offensive (79% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,"Kannada film industry is rocking, but no exposure.. Movies to be directly released in international languages",Needs Review,Hate Speech,,"Models agree it may be Hate Speech (92% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,ಈ ಮೂವಿನಾ ಯಾವದೇ ott ಲೀ ಯಾಕೆ ಬಿಡುಗಡೆ ಮಾಡಿಲ್ಲ...,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (71% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,Yava OTT yallo ide e cinema?,Needs Review,Offensive,,"Models agree it may be Offensive (74% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,"Jagjit singh artist,",Needs Review,Hate Speech,,"Models agree it may be Hate Speech (83% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,"Ye doulath bi le lo..........
Childhood memory",Needs Review,Offensive,,"Models agree it may be Offensive (80% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,"ಹಾಗೆ ಇಂದಿರಾ ಗಾಂಡಿ ನಮ್ಮ ಭಾರತ ದೇಶದ ಮಾಡಿದ ತುರ್ತು ಪರಿಸ್ಥಿಯ ಬಗ್ಗೆ ಹೇಳಿ..?
ಹೋ ಇದಕ್ಕೆ ಹಣ ಕೊಟ್ಟಿಲ್ಲ ಅಂತ ತಾನೇ..",Needs Review,Offensive,,"Models agree it may be Offensive (70% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,Welcome to the wrist modi India,Needs Review,Offensive,,"The two models disagree: fast check says 'Neutral', detailed check says 'Offensive'. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,All the best kichha sudeepians ❤️❤️,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (93% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
